TOTS;Player;Squad;Born;Age;Nation;Nation2;MP;90s;Minutes;Pos1;Pos2;Starts;Gls;Ast;GAs;pensattempted;pensscored;nonpengoals;xpectedAssistedGoals;xpectedGoals;nonpenxG;ProgCarries;ProgPasses;ProgRuns;CrdY;CrdR;gls90;ast90;ga90;ganonpen90;nonpengoals90;xpectGoals90;xGaXG90;xAG90;nonpenxpecGoalsxAssistedGoals90;npxGxAG;npxG90;glcreatingaction;GCA90;foulsdrawn;Fouldrawngoal;defensiveactionsthatleadtoshotattempt;defactiongoal;PassDeadShotAttempt;PassDeaGoal;PassLiveShotAttempt;PassLiveGoal;shotcreatingactions;SCA90;succtakeon;TakeOnGoal;Sum of clearances;challengeslost;intercepts;errors;tackles;TklWon;shotsblocked;passsesblocked;percentdribblerstackled;crossesfaced;crossesstopped;crossstopperc;defactionsoutsidepenarea;defactionoutsidepen90;passesattemtedover40yards;passescompetedover40yards;AvgDistofdefensiveactionsfromgoal;AvgLenpassinYards;OG;PSxG;PSxGallowed90;PSxGperShotonTarget;PSxGminusgoalsallowed;GA;PKA;Touches;DefPenTouches;Def3rdTouches;Mid3rdTouches;Att3rdTouches;AttPenaltyareatouches;LiveBallTouches;Carries;Miscontrols;TakeOnAttempted;TakeOnSucc;TakeOnSuccPercen;TkldDurTakeOn;TotDistYards;TkldPercen;PassesReceived;ProgPassesReceived;Dispossessed
No;Joško Gvardiol;Manchester City;2002;22;hr CRO;hr;37;36.4;3277;DF;;36;5;0;5;0;0;5;2.1;4.6;4.3;91;264;121;2;0;0.14;0;0.14;0.14;0.14;0.13;0.18;0.06;0.17;6.3;0.12;7;0.19;1;0;0;0;1;0;69;6;76;2.09;2;1;122;19;44;8;58;39;20;22;52,5;;;;;;;;;;;;;;;;;3103;146;764;1549;815;98;3103;1997;29;43;25;58.1;14;10574;32.6;2257;121;16
No;Jota Silva;Nott'ham Forest;1999;24;pt POR;pt;31;9.5;854;FW;MF;5;3;1;4;0;0;3;2.9;2.1;2.1;21;18;59;5;0;0.32;0.11;0.42;0.42;0.32;0.22;0.53;0.3;0.53;5;0.22;3;0.32;3;1;0;0;0;0;22;2;29;3.06;1;0;17;21;12;0;27;14;1;8;22,2;;;;;;;;;;;;;;;;;357;19;83;104;181;46;357;175;24;34;10;29.4;15;1153;44.1;202;59;12
No;Julian Araujo;Bournemouth;2001;22;mx MEX;mx;12;5.5;497;DF;;7;0;0;0;0;0;0;0.1;0;0;4;14;22;2;0;0;0;0;0;0;0;0.01;0.01;0.01;0.1;0;0;0;0;0;0;0;0;0;5;0;5;0.91;0;0;18;7;6;0;10;5;0;3;41,7;;;;;;;;;;;;;;;;;275;20;90;136;55;2;275;126;5;1;0;0;1;482;100;149;22;2
No;Julio Enciso;Brighton;2004;20;py PAR;py;12;3.3;294;MF;FW;2;0;0;0;0;0;0;0.2;1;1;11;14;17;0;0;0;0;0;0;0;0.31;0.38;0.07;0.38;1.2;0.31;0;0;2;0;0;0;1;0;5;0;12;3.69;3;0;1;2;0;0;0;0;0;2;0;;;;;;;;;;;;;;;;;202;2;17;72;116;20;202;114;7;21;10;47.6;8;678;38.1;141;17;9
No;Julio Enciso;Ipswich Town;2004;20;py PAR;py;13;9.7;869;MF;FW;12;2;3;5;0;0;2;1.4;1.7;1.7;23;28;44;3;0;0.21;0.31;0.52;0.52;0.21;0.18;0.32;0.14;0.32;3.1;0.18;4;0.41;0;0;1;0;4;1;16;2;29;3;6;1;6;7;1;0;12;9;1;7;36,4;;;;;;;;;;;;;;;;;406;5;52;202;167;23;406;205;24;66;30;45.5;28;1537;42.4;262;44;30
No;Julio Soler;Bournemouth;2005;19;ar ARG;ar;3;0.1;11;DF;FW;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;100;;;;;;;;;;;;;;;;;17;0;3;6;8;0;17;12;1;0;0;;0;30;;14;2;0
No;Jurriën Timber;Arsenal;2001;23;nl NED;nl;30;26.9;2417;DF;;27;1;3;4;0;0;1;0.8;1.2;1.2;57;146;104;7;0;0.04;0.11;0.15;0.15;0.04;0.05;0.08;0.03;0.08;2.1;0.05;9;0.34;1;0;1;0;1;0;46;8;52;1.94;3;1;44;9;22;1;58;38;4;15;66,7;;;;;;;;;;;;;;;;;1661;51;304;859;505;66;1661;890;33;53;24;45.3;24;3916;45.3;1052;104;24
No;Justin Devenny;Crystal Palace;2003;20;nir NIR;nir;23;5.6;507;MF;;4;1;1;2;0;0;1;0.6;0.8;0.8;5;21;13;1;0;0.18;0.18;0.36;0.36;0.18;0.14;0.25;0.11;0.25;1.4;0.14;1;0.18;0;0;0;0;2;0;12;1;15;2.66;0;0;11;11;0;0;17;12;1;5;42,1;;;;;;;;;;;;;;;;;279;8;53;149;83;8;279;134;17;4;2;50;2;701;50;167;13;3
No;Justin Kluivert;Bournemouth;1999;25;nl NED;nl;34;26;2340;MF;;29;12;6;18;6;6;6;4.8;10.3;5.6;81;105;173;8;0;0.46;0.23;0.69;0.46;0.23;0.4;0.58;0.19;0.4;10.5;0.22;12;0.46;5;1;1;0;8;0;73;11;101;3.88;7;0;24;18;14;1;23;11;0;24;18,2;;;;;;;;;;;;;;;;;1086;24;99;366;641;134;1080;646;55;87;36;41.4;40;4198;46;710;173;27
No;Kaelan Casey;West Ham;2004;19;eng ENG;eng;1;0;1;DF;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;1;1;1;0;0;0;1;0;0;0;0;;0;0;;0;0;0
